path,asof_index,equity,hwm,drawdown,expected_state,expected_confirmation_streak
rebound,0,500000.0,500000.0,0.0,normal,0
rebound,1,505000.0,505000.0,0.0,normal,0
rebound,2,495000.0,505000.0,0.01980198019801982,normal,0
rebound,3,440000.0,505000.0,0.12871287128712872,reduced,0
rebound,4,445000.0,505000.0,0.1188118811881188,reduced,0
rebound,5,470000.0,505000.0,0.06930693069306926,reduced,0
rebound,6,478000.0,505000.0,0.05346534653465351,reduced,0
rebound,7,480000.0,505000.0,0.04950495049504955,reduced,1
rebound,8,485000.0,505000.0,0.03960396039603964,normal,0
slump,0,500000.0,500000.0,0.0,normal,0
slump,1,505000.0,505000.0,0.0,normal,0
slump,2,495000.0,505000.0,0.01980198019801982,normal,0
slump,3,440000.0,505000.0,0.12871287128712872,reduced,0
slump,4,430000.0,505000.0,0.14851485148514854,reduced,0
slump,5,420000.0,505000.0,0.16831683168316836,reduced,0
slump,6,415000.0,505000.0,0.17821782178217827,reduced,0
slump,7,410000.0,505000.0,0.18811881188118806,reduced,0
slump,8,405000.0,505000.0,0.19801980198019797,reduced,0
